output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o059,https://doi.org/10.5281/zenodo.3667650,bitKlavier,bitKlavier,Software Release,Views,701,2026-08-11,ok
o059,https://doi.org/10.5281/zenodo.3667650,bitKlavier,bitKlavier,Software Release,Downloads,133,2026-08-11,ok
o065,https://doi.org/10.5281/zenodo.3359175,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Views,515,2026-08-11,ok
o065,https://doi.org/10.5281/zenodo.3359175,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Downloads,261,2026-08-11,ok
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Citation Count,6,2026-08-11,ok
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Views,,2026-08-11,manual
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Downloads,,2026-08-11,manual
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Citation Count,3,2026-08-11,ok
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Views,,2026-08-11,manual
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Downloads,,2026-08-11,manual
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Data Physicalization,Publication,Citation Count,2,2026-08-11,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Data Physicalization,Publication,Views,696,2026-08-11,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Data Physicalization,Publication,Downloads,1105,2026-08-11,ok
o069,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,What If You Could Touch Data?,Data Physicalization,Publication,Views,,2026-08-11,manual
o069,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,What If You Could Touch Data?,Data Physicalization,Publication,Downloads,,2026-08-11,manual
o072,https://doi.org/10.5281/zenodo.3261530,Data Beyond Vision,Data Physicalization,Presentation / Poster,Views,491,2026-08-11,ok
o072,https://doi.org/10.5281/zenodo.3261530,Data Beyond Vision,Data Physicalization,Presentation / Poster,Downloads,277,2026-08-11,ok
o086,https://doi.org/10.5281/zenodo.17315400,Community Code Review in the Digital Humanities,DH Tech,,Views,223,2026-08-11,ok
o086,https://doi.org/10.5281/zenodo.17315400,Community Code Review in the Digital Humanities,DH Tech,,Downloads,154,2026-08-11,ok
o096,https://doi.org/10.5281/zenodo.15863899,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Presentation / Poster,Views,434,2026-08-11,ok
o096,https://doi.org/10.5281/zenodo.15863899,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Presentation / Poster,Downloads,264,2026-08-11,ok
o001,https://doi.org/10.5281/zenodo.14861082,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,Views,308,2026-08-11,ok
o001,https://doi.org/10.5281/zenodo.14861082,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,Downloads,250,2026-08-11,ok
o092,https://doi.org/10.5281/zenodo.19472367,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,Music Theory in the Plural,Grey Literature,Views,129,2026-08-11,ok
o092,https://doi.org/10.5281/zenodo.19472367,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,Music Theory in the Plural,Grey Literature,Downloads,84,2026-08-11,ok
o029,https://zenodo.org/records/17344496,HTR2HPC Project Charter,Open HTR,Grey Literature,Views,,2026-08-11,manual
o029,https://zenodo.org/records/17344496,HTR2HPC Project Charter,Open HTR,Grey Literature,Downloads,,2026-08-11,manual
o033,https://doi.org/10.5281/zenodo.17245594,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Open HTR,Publication,Views,180,2026-08-11,ok
o033,https://doi.org/10.5281/zenodo.17245594,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Open HTR,Publication,Downloads,233,2026-08-11,ok
o063,https://doi.org/10.5281/zenodo.6909568,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset","Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Dataset,Views,2060,2026-08-11,ok
o063,https://doi.org/10.5281/zenodo.6909568,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset","Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Dataset,Downloads,2735,2026-08-11,ok
o064,https://doi.org/10.5281/zenodo.3359177,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Grey Literature,Views,1587,2026-08-11,ok
o064,https://doi.org/10.5281/zenodo.3359177,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Grey Literature,Downloads,994,2026-08-11,ok
o042,https://doi.org/10.5281/zenodo.3359202,"""Built by CDH"" Long Term Software Agreement",Project Management and Documentation,Grey Literature,Views,329,2026-08-11,ok
o042,https://doi.org/10.5281/zenodo.3359202,"""Built by CDH"" Long Term Software Agreement",Project Management and Documentation,Grey Literature,Downloads,171,2026-08-11,ok
o047,https://doi.org/10.5281/zenodo.14907039,Project Management 101,Project Management and Documentation,Presentation / Poster,Views,196,2026-08-11,ok
