ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Year,Count,Metric Type
1,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,7/1/2025,2025,67,Views
2,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,7/1/2025,2025,9,Downloads
3, Derrida's Margins datasets: v1.1,🌐Derrida’s Margins,Dataset,https://doi.org/10.34770/8nc6-4418,,7/1/2025,2025,8,Views
4,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,https://doi.org/10.5281/zenodo.3359144,,7/1/2025,2025,560,Views
5,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,https://doi.org/10.5281/zenodo.3359144,,7/1/2025,2025,336,Downloads
6,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,7/1/2025,2025,213,Views
7,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,7/1/2025,2025,41,Downloads
8,Derrida's Margins website,🌐Derrida’s Margins,Website,https://derridas-margins.princeton.edu/,7/1/2024,6/30/2025,2025,4300,Active Users
9,Princeton Prosody Archive Website,🌐Princeton Prosody Archive,Website,https://prosody.princeton.edu/,7/1/2024,6/30/2025,2025,2300,Active Users
10,Shakespeare and Company Website,🌐Shakespeare and Company,Website,https://shakespeareandco.princeton.edu/,7/1/2024,6/30/2025,2025,9500,Active Users
11,Princeton Geniza Website,🌐Geniza,Website,https://geniza.princeton.edu/en/,7/1/2024,6/30/2025,2025,12000,Active Users
12,annotorious-tahqiq,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.14888965,,7/1/2025,2025,186,Views
13,annotorious-tahqiq,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.14888965,,7/1/2025,2025,58,Downloads
14,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.7841822,,7/1/2025,2025,160,Views
15,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.7841822,,7/1/2025,2025,113,Downloads
16,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.4081714,,7/1/2025,2025,662,Views
17,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.4081714,,7/1/2025,2025,559,Downloads
18,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,7/1/2025,2025,12,Views
19,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,7/1/2025,2025,12,Downloads
20,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,7/1/2025,2025,612,Views
21,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,7/1/2025,2025,207,Downloads
22,ppa-django,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.2400704,,7/1/2025,2025,355,Views
23,ppa-django,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.2400704,,7/1/2025,2025,54,Downloads
24,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,7/1/2025,2025,115,Views
25,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,7/1/2025,2025,53,Downloads
26,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,7/1/2025,2025,105,Views
27,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,7/1/2025,2025,60,Downloads
28,Elizabeth Barrett Browning's Pathways through the PPA,🌐Princeton Prosody Archive,Publication,http://doi.org/10.5281/zenodo.8292322,,7/1/2025,2025,50,Views
29,Coventry Patmore and the Problem of Excerpts,🌐Princeton Prosody Archive,Publication,https://doi.org/10.5281/zenodo.8292370,,7/1/2025,2025,63,Views
30,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,https://doi.org/10.5281/zenodo.3359171,,7/1/2025,2025,686,Views
31,mep-django,🌐Shakespeare and Company,Software Release,https://doi.org/10.5281/zenodo.3834178,,7/8/2025,2025,509,Views
32, Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,7/8/2025,2025,191,Views
33,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,7/8/2025,2025,83,Views
34,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,7/8/2025,2025,71,Views
35,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,7/8/2025,2025,41,Views
